concepto_cleared,categoria,metodo_algoritmo,explicacion
cocacola zero,"Hoteles, restaurantes y alojamiento",gemini-3.1-flash-lite-preview,Pago por consumo de bebidas dentro de servicios de alimentación o restaurantes.
lomo saltado,"Hoteles, restaurantes y alojamiento",gemini-3.1-flash-lite-preview,Pago por concepto de consumo de alimentos preparados en establecimiento comercial.
cebiche clasico corvina,"Hoteles, restaurantes y alojamiento",gemini-3.1-flash-lite-preview,Pago derivado de consumo de alimentos preparados en restaurante.
acta final interventoria contrato interventoria mes cuyo objeto realizar interventoria tecnica administrativa financiera juridica ambiental contrato obra comprenden elaboracion diseños estudios tecnicos obtencion licencias construccion cualquiera modalidades licencias urbanismo junto permisos aprobaciones necesarias obras institucion educativa normal superior quibdo municipio quibdo choco correspondiente periodo mes pago liquidacion acuerdo clausula tercera forma pago contrato integrantes consorcio codipro ingenieria arquitectura ltda nit participacion ingenieros consultores constr,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,"Servicio de supervisión técnica, administrativa y financiera sobre un contrato de obra pública, específicamente interventoría de infraestructura."
comision servicio administracion viviendas mirador frayle candelaria valle vivienda dias marco contrato prestacion servicios suscrito consorcio alianza colpatria central inversiones,Consultoría General/Administración Delegada (PJ),gemini-3.1-flash-lite-preview,Prestación de servicios de administración delegada de proyectos inmobiliarios ejecutada por una persona jurídica o consorcio.
comision servicio administracion viviendas mirador frayle candelaria valle vivienda dias marco contrato prestacion servicios suscrito consorcio alianza colpatria central inv ersiones,Consultoría General/Administración Delegada (PJ),gemini-3.1-flash-lite-preview,Prestación de servicios de administración delegada de proyectos inmobiliarios ejecutada por una persona jurídica o consorcio.
comision servicio administracion viviendas mirador frayle candelaria valle vivienda dias proyecto urb san javier inirida guainia viviendas dias marco contrato prestacion servicios suscrito consorcio alianza colpatria central inv ersiones,Consultoría General/Administración Delegada (PJ),gemini-3.1-flash-lite-preview,Prestación de servicios de administración delegada de proyectos inmobiliarios ejecutada por una persona jurídica o consorcio.
comision servicio administracion viviendas marco contrato prestacion servicios suscrito consorcio alianza colpatria central inversiones,Honorarios y Comisiones,gemini-3.1-flash-lite-preview,Corresponde a la remuneración mediante comisión por la gestión de servicios administrativos bajo un contrato de prestación de servicios.
ajuste ventas mes mes comision canon abr,Honorarios y Comisiones,gemini-3.1-flash-lite-preview,"Ajuste contable sobre una comisión previamente pactada, manteniendo la naturaleza de honorarios y comisiones."
ajuste ventas mes mes comision iva abr,Honorarios y Comisiones,gemini-3.1-flash-lite-preview,"Ajuste sobre el valor de una comisión, clasificado en la misma categoría de honorarios y comisiones."
alquiler planta electrica kva dias horas trabajo partir sabado mes domingo mes incluye instalacion desinstalacion,Arrendamiento de bienes muebles,gemini-3.1-flash-lite-preview,"Contrato por el uso temporal de maquinaria (planta eléctrica) a cambio de un pago, clasificado como arrendamiento de bienes muebles."
acta parcial periodo facturado palmar sede jose maria cabal dpto valle cauca municipio dagua carlos holguin sardi sede rosa zarate peña dpto valle cauca municipio versalles,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,El cobro mediante actas parciales es característico de la ejecución de proyectos y contratos de construcción.
ultrasonico octave iso pulsos incluye bridas,Compras Generales,gemini-3.1-flash-lite-preview,"Adquisición de un equipo o componente físico (instrumento ultrasónico) para uso operativo, clasificado como compras generales."
agua botella gas,Compras Generales,gemini-3.1-flash-lite-preview,"Adquisición de bienes tangibles de consumo corporativo, clasificado dentro de compras generales."
porc arepa paisa,"Hoteles, restaurantes y alojamiento",gemini-3.1-flash-lite-preview,"Venta de alimentos preparados listos para el consumo, asociado a servicios de restaurantes."
aceitunas marinadas,"Hoteles, restaurantes y alojamiento",gemini-3.1-flash-lite-preview,Alimento preparado servido en un contexto de consumo tipo restaurante.
pasantes,Empresas de Servicios Temporales,gemini-3.1-flash-lite-preview,Concepto relacionado con el suministro de personal en formación o misión bajo modalidades de servicio temporal.
paella valenciana,"Hoteles, restaurantes y alojamiento",gemini-3.1-flash-lite-preview,Venta de alimento preparado tipo restaurante.
entrecote,"Hoteles, restaurantes y alojamiento",gemini-3.1-flash-lite-preview,Venta de alimento preparado en establecimiento de comidas.
comision may calle campestre towers,Honorarios y Comisiones,gemini-3.1-flash-lite-preview,"Pago derivado de una gestión comercial o inmobiliaria, clasificado como comisión."
cuotas administracion may local,Cuota de admon,gemini-3.1-flash-lite-preview,Pago de expensas comunes por administración de inmueble bajo el régimen de propiedad horizontal.
servicio administracion mayo,Consultoría General/Administración Delegada (PJ),gemini-3.1-flash-lite-preview,Servicio de administración delegado o consultoría estratégica prestado para la gestión de procesos.
procesos judiciales recuperacion clientes asignados covinoc cliente deudor ivan augusto martinez lopez retiro titulos judiciales valor embargo salarios codeudora natalia maria chavez consignados alianza fiduciaria mes tarifa valor facturar tarifa contractual honorarios recaudo clientes judicializados despues sentencia,Honorarios y Comisiones,gemini-3.1-flash-lite-preview,"El concepto describe explícitamente el pago de honorarios por la gestión jurídica de recaudo de cartera, servicio profesional prestado por terceros independientes."
procesos judiciales fideicomiso ocensa cliente deudor ivan augusto martinez lopez pago concepto honorarios abogado proceso ejecutivo mixto rad aseguradora mafpre seguros generales colombia cubre incapacidad titular consignados alianza fiduciaria mes,Honorarios y Comisiones,gemini-3.1-flash-lite-preview,"Corresponde al pago de honorarios profesionales de abogado por la ejecución de un proceso judicial, constituyendo un servicio intelectual y técnico."
alquiler silla giratoria ejecutiva malla brazos,Arrendamiento de bienes muebles,gemini-3.1-flash-lite-preview,"Se trata del alquiler de un bien corporal mueble (silla), lo cual encaja en la categoría de arrendamiento de bienes muebles."
actividades servicios artisticos reembolso rubro jefe desarrollo pelicula basta mama,Reembolso,gemini-3.1-flash-lite-preview,"El concepto especifica que es un reembolso de gastos, sin constituir la venta de un bien o la prestación de un servicio directo en este rubro."
actividades servicios artisticos reembolso rubro asesorias script doctor pelicula basta mama,Reembolso,gemini-3.1-flash-lite-preview,"Clasificado como reembolso, al tratarse de la devolución de dinero por gastos incurridos en asesoría de guion, no siendo un pago directo al prestador."
actividades servicios artisticos reembolso rubro estudio grabacion pelicula basta mama,Reembolso,gemini-3.1-flash-lite-preview,"Es un reembolso de gastos operativos de producción (estudio de grabación), operando como un reintegro de costos previamente cubiertos por un tercero."
actividades servicios artisticos reembolso rubro productor ejecutivo pelicula basta mama,Reembolso,gemini-3.1-flash-lite-preview,"Clasificado como reembolso, pues el concepto refiere a la devolución de costos asociados a la figura del productor ejecutivo en el proyecto."
actividades servicios artisticos reembolso rubro adquisicion derechos guion pelicula basta mama,Reembolso,gemini-3.1-flash-lite-preview,"Se trata de un reembolso de gastos relacionados con la adquisición de derechos de guion, sin constituir una operación de venta directa."
actividades servicios artisticos reembolso rubro insumos oficina pelicula basta mama,Reembolso,gemini-3.1-flash-lite-preview,"Corresponde a la devolución de dinero por insumos de oficina adquiridos por un tercero, clasificándose estrictamente como reembolso de gastos."
actividades servicios artisticos reembolso rubro compras miscelaneas rodaje pelicula basta mama,Reembolso,gemini-3.1-flash-lite-preview,"El concepto indica un reembolso de compras menores efectuadas durante el rodaje, funcionando como un reintegro de caja operativa."
actividades servicios artisticos reembolso rubro compras alquileres escenografia pelicula basta mama,Reembolso,gemini-3.1-flash-lite-preview,"Se clasifica como reembolso de gastos, dado que hace referencia a la devolución de costos por alquileres para la escenografía de la producción."
actividades servicios artisticos reembolso rubro director pelicula basta mama,Reembolso,gemini-3.1-flash-lite-preview,"Es un reembolso de gastos operativos cubiertos por un tercero asociados al rol del director, sin ser un honorario pagado directamente en este ítem."
mano obra mamposteria bloque pañete alcaldia martires barrio voto nacional,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,"Las labores de mampostería, bloques y pañete se enmarcan en las actividades de obra civil y construcción de inmuebles."
mano obra limpieza reparacion sotano,Vigilancia y Aseo,gemini-3.1-flash-lite-preview,La limpieza de instalaciones o áreas como sótanos se clasifica dentro de la categoría de servicios de aseo y mantenimiento de instalaciones.
tabla chapa metros ordinario rustico,Compras Generales,gemini-3.1-flash-lite-preview,La adquisición de tablas o materiales de madera constituye la compra de bienes tangibles o insumos para inventario o uso general.
repisas metros ordinario rusticas,Compras Generales,gemini-3.1-flash-lite-preview,"Adquisición de bienes tangibles, específicamente mobiliario de uso general."
planchones metros ordinario rustico,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de materiales tangibles de construcción o uso industrial.
fabricacion ducto mtrs cañones cañones difusores agricolas,Servicios Generales,gemini-3.1-flash-lite-preview,"Servicio de fabricación de piezas metálicas a medida, que constituye un servicio técnico de manufactura."
mantenimiento general equipo fumigadora martignani,Servicios Generales,gemini-3.1-flash-lite-preview,Servicio de mantenimiento técnico sobre maquinaria y equipos agroindustriales.
suministro instalacion sistema ansul segun oferta rev,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,"Instalación de sistemas fijos de seguridad contra incendios en edificaciones, calificado como contrato de obra técnica."
reembolso gastos transporte produccion pelicula juanse,Reembolso,gemini-3.1-flash-lite-preview,Reintegro de gastos de transporte asumidos inicialmente por terceros.
reembolsos honorarios preproduccion pelicula juanse,Reembolso,gemini-3.1-flash-lite-preview,Reintegro de gastos por concepto de honorarios pagados a terceros.
reembolsos pago locaciones pelicula juanse,Reembolso,gemini-3.1-flash-lite-preview,Reintegro de pagos efectuados a terceros por uso de locaciones.
reembolsos alimentacion preproduccion produccion pelicula juanse,Reembolso,gemini-3.1-flash-lite-preview,Reintegro de gastos de alimentación generados por terceros en producción.
devoluciones aportes pagos terceros fideicomiso pelicula cementerio sifi,Reembolso,gemini-3.1-flash-lite-preview,Reembolso de pagos efectuados a terceros en el marco de la gestión fiduciaria.
gringo composicion grabacion cesion derechos cancion cancion rayito sol juan gabriel turbay,Honorarios y Comisiones,gemini-3.1-flash-lite-preview,"Servicios profesionales intelectuales por composición, grabación y cesión de derechos de autor."
led negro cobre polasso,Compras Generales,gemini-3.1-flash-lite-preview,"Adquisición de bienes físicos, artículos de iluminación y decoración."
led black estanterios,Compras Generales,gemini-3.1-flash-lite-preview,"Adquisición de bienes tangibles, elementos de iluminación y estantería."
black white ravello,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de productos tangibles decorativos o de uso general.
nema lamp pie acero inox ext led,Compras Generales,gemini-3.1-flash-lite-preview,"Adquisición de bienes tangibles, lámparas y mobiliario metálico."
led schwarz gold feloniche led black gold feloniche,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de bienes tangibles correspondientes a luminarias.
limpieza marquesina vidrio ambas caras ubicada costado norte hotel,Vigilancia y Aseo,gemini-3.1-flash-lite-preview,Servicio de limpieza y mantenimiento de superficies acristaladas.
lavado piso porcelanato estriado ubicado debajo marquesina costado norte,Vigilancia y Aseo,gemini-3.1-flash-lite-preview,Servicio de lavado y limpieza de pisos en instalaciones.
servicio aseo general zona franca,Vigilancia y Aseo,gemini-3.1-flash-lite-preview,Servicio de aseo y limpieza prestado en un entorno empresarial.
suministro instalacion teja pvc cubierta local,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,"Obras de reparación, suministro e instalación de cubiertas."
desmonte tejas existente local,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,Labores de desmonte y adecuación de cubiertas en inmuebles.
interventoria tecnica administrativa financiera juridica ambiental,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,Servicios de supervisión y control técnico y administrativo de proyectos.
actividades servicios artisticos reembolso rubro productor general pelicula basta mama,Reembolso,gemini-3.1-flash-lite-preview,Reintegro de gastos de producción realizados por terceros.
actividades servicios artisticos reembolso rubro asistente productor campo pelicula basta mama,Reembolso,gemini-3.1-flash-lite-preview,Reembolso de gastos operativos en actividades de producción artística.
actividades servicios artisticos reembolso rubro productor campo pelicula basta mama,Reembolso,gemini-3.1-flash-lite-preview,Devolución de gastos incurridos en la ejecución de un proyecto artístico.
administracin alianza,Consultoría General/Administración Delegada (PJ),gemini-3.1-flash-lite-preview,Servicio de administración de procesos gestionado por terceros.
reembolsos alquileres arte vestuario maquillaje pelicula juanse,Reembolso,gemini-3.1-flash-lite-preview,Reintegro de gastos por alquileres en producción cinematográfica.
reembolsos discos duros alquiler luces miscelaneos produccion pelicula juanse,Reembolso,gemini-3.1-flash-lite-preview,Reembolso de gastos técnicos y logísticos de producción.
concepto diseño material impreso reembolso pago terceros,Reembolso,gemini-3.1-flash-lite-preview,Pago por concepto de reintegro de gastos de diseño realizados por terceros.
cuota admon may ofic,Cuota de admon,gemini-3.1-flash-lite-preview,Pago de expensas comunes y administración de propiedad horizontal.
acta contrato construccion obras,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,"Referencia directa a la ejecución de obras civiles, remodelación o construcción de inmuebles."
imprevistos cambio año,Contratos de construcción y urbanización,KEYWORD,
ingresos terceros servicios audiovisuales proyecto pelicula eva,Servicios Generales,gemini-3.1-flash-lite-preview,"Servicios audiovisuales que no cuentan con una categoría específica en la tabla, requiriendo clasificación como servicio general."
cuota administracion may bode,Cuota de admon,gemini-3.1-flash-lite-preview,Pago periódico por concepto de expensas comunes o administración de propiedad horizontal para bodegas.
cuota admon may local,Cuota de admon,gemini-3.1-flash-lite-preview,Pago periódico por concepto de expensas comunes o administración de propiedad horizontal para locales comerciales.
retroactivo admon local,Cuota de admon,gemini-3.1-flash-lite-preview,Pago pendiente o ajuste de cuotas de administración correspondientes a un bien inmueble tipo local.
retroactivo admon ofic,Cuota de admon,gemini-3.1-flash-lite-preview,Pago pendiente o ajuste de cuotas de administración correspondientes a un bien inmueble tipo oficina.
servicios administrativos,Consultoría General/Administración Delegada (PJ),gemini-3.1-flash-lite-preview,"Actividades de gestión, administración o asesoría de procesos empresariales prestadas por personas jurídicas."
capacitacion herramientas asesoria evaluacion,Honorarios y Comisiones,gemini-3.1-flash-lite-preview,Prestación de servicios intelectuales de capacitación y asesoría independiente sin vínculo laboral.
servicios administracion mes,Consultoría General/Administración Delegada (PJ),gemini-3.1-flash-lite-preview,Servicios mensuales de administración de negocios o procesos de gestión empresarial.
mantenimiento preventivo tipo visitas anuales,Servicios Generales,gemini-3.1-flash-lite-preview,"Servicio de mantenimiento técnico que no constituye construcción, vigilancia, aseo o consultoría específica."
servicio mantenimiento planta kva correctivo cambio refrigerante,Servicios Generales,gemini-3.1-flash-lite-preview,"Servicio técnico correctivo de maquinaria que, al no tener una categoría especial, se clasifica como general."
acompañamiento adicional presencial,Servicios Generales,gemini-3.1-flash-lite-preview,"Servicio de asistencia o apoyo presencial inespecífico, sin detalle suficiente para otra categoría."
inspeccion zona barranquilla plan luz,Servicios Generales,gemini-3.1-flash-lite-preview,Actividad de inspección o verificación técnica operativa sin clasificación específica definida.
anticipo retiro cielo raso oficina,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,"Ejecución de actividades de adecuación, desmonte o remodelación física dentro de un inmueble."
producto cinta amarilla mts,Compras Generales,gemini-3.1-flash-lite-preview,"Adquisición de un bien tangible, insumo físico o suministro de oficina sujeto a inventario."
producto agrolene mts calibre,Compras Generales,gemini-3.1-flash-lite-preview,"El agrolene es un material plástico utilizado como insumo en actividades agropecuarias, clasificable como bien tangible de consumo general."
ejecucion interventoria construccion construccion pedro nel jimenez sede principal municipio arauquita departamento arauca,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,Servicio especializado de supervisión técnica contratado para el seguimiento de una obra civil de infraestructura pública.
contrato obra periodo acta correspondiente mes mes mes mes,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,Pago derivado de la ejecución de actividades propias de un contrato de construcción u obra civil.
secondment legal mes,Honorarios y Comisiones,gemini-3.1-flash-lite-preview,El secondment legal implica la prestación de servicios profesionales intelectuales de asesoría jurídica sin vínculo laboral.
ingreso recibido terceros air canada nit tiquete internacional pasajero duran rodriguez juan felipe,Transporte de Pasajeros (Aéreo o Marítimo),gemini-3.1-flash-lite-preview,Servicio de transporte de personas prestado por una aerolínea internacional mediante la compra de un tiquete.
ingreso recibido terceros air canada nit tiquete internacional pasajero duran rodriguez juan felipe iva tiquete,Transporte de Pasajeros (Aéreo o Marítimo),gemini-3.1-flash-lite-preview,Valor correspondiente al componente del IVA de un tiquete de transporte aéreo internacional.
examen medico ocupacional enfasis osteomuscular,Servicios de Salud,gemini-3.1-flash-lite-preview,Servicio de medicina laboral y salud ocupacional para la evaluación de condiciones físicas del trabajador.
suministro patch cord sede pst centro comercial estacion arreglo chapa sede alterna pst flora,Servicios Generales,gemini-3.1-flash-lite-preview,Concepto mixto de suministro de insumos de conectividad y reparaciones de mantenimiento menor que requiere clasificación genérica.
ingreso recibido terceros cupohotel com sas nit voucher pasajero duran rodriguez juan felipe,"Hoteles, restaurantes y alojamiento",gemini-3.1-flash-lite-preview,Servicio de alojamiento temporal gestionado a través de una plataforma comercial para un tercero.
atomizador tiger,Compras Generales,gemini-3.1-flash-lite-preview,"Adquisición de un bien tangible, en este caso una herramienta o equipo de aplicación agrícola de uso general."
camiseta camiseta,Compras Generales,gemini-3.1-flash-lite-preview,"Adquisición de vestuario, clasificable como bien tangible corporal de consumo general."
camiseta cuello redondo manga,Compras Generales,gemini-3.1-flash-lite-preview,"Adquisición de vestuario, clasificable como bien tangible corporal de consumo general."
acta parcial contrato csti supervision tecnica sagrado corazon mes mes,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,"Servicio de supervisión y control técnico de proyectos, propio de la interventoría en infraestructura."
cincuenta ciento valor contrato interventoria acuerdo avance parcial contrato obra,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,Pago parcial por concepto de servicios de interventoría técnica derivados de un contrato de obra.
cincuenta ciento valor adicion contrato interventoria acuerdo avance parcial obra adicion,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,Pago correspondiente a servicios de interventoría derivados de una adición presupuestal a un contrato de obra.
interventoria contrato obra iet san martin tours,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,Servicio de supervisión técnica especializado para el control de obras e infraestructura.
acta parcial interventoria periodo delacta correspondiente mes mes mes mes,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,Soporte de cobro por servicios de interventoría técnica en proyectos de infraestructura.
limonada kola hipinto,"Hoteles, restaurantes y alojamiento",gemini-3.1-flash-lite-preview,Adquisición de bebidas y alimentos consumidos como parte de servicios de alimentación.
alquiler hosting dominio,Servicios Generales,gemini-3.1-flash-lite-preview,Servicio tecnológico de alojamiento web y dominio que no constituye licencias de software.
comprobante ingreso,DESCONOCIDO,gemini-3.1-flash-lite-preview,"Documento contable interno de soporte de recaudo, no representa una compra o servicio."
arrendamiento mensual servidor infraestructura intel renovacion abril,Arrendamiento de bienes muebles,gemini-3.1-flash-lite-preview,Alquiler de equipo de cómputo y hardware (servidor) para uso operativo.
alquiler rotomartillo hilti dias comprende mes mes,Arrendamiento de bienes muebles,gemini-3.1-flash-lite-preview,Arrendamiento de maquinaria y herramientas manuales para actividades de construcción.
alquiler demoledor einthell dias comprende mes mes,Arrendamiento de bienes muebles,gemini-3.1-flash-lite-preview,Alquiler de equipos o maquinaria pesada menor para labores operativas o de construcción.
bobinado motor siemens,Servicios Generales,gemini-3.1-flash-lite-preview,Servicio técnico de reparación o mantenimiento de maquinaria eléctrica sin clasificar en otras categorías.
transporte concreto planta dia miercoles mes proyecto caluce suba segun orden trabajo,"Transporte de Carga (Terrestre, Aéreo o Marítimo)",gemini-3.1-flash-lite-preview,Servicio de logística y traslado de insumos de construcción hacia el sitio de obra.
mozzarella tomate,Productos agrícolas/pecuarios (sin proceso industrial),gemini-3.1-flash-lite-preview,Compra de productos alimenticios primarios sin transformación industrial compleja.
bota super argyll cinta roja,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de elementos de protección personal (bienes tangibles).
esponja salva u±as,Compras Generales,gemini-3.1-flash-lite-preview,"Compra de insumo de limpieza y aseo, clasificado como bien corporal."
plato mediano,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de utensilios de cocina o menaje como bienes tangibles de consumo.
servicio voz off video aglomeraciones,Honorarios y Comisiones,gemini-3.1-flash-lite-preview,Servicio intelectual de locución prestado por profesional independiente sin relación laboral.
logistica costos operativos cotidianos dic,Servicios Generales,gemini-3.1-flash-lite-preview,"Los costos operativos y logísticos son conceptos ambiguos que no especifican una labor técnica o profesional concreta, clasificándose provisionalmente en servicios generales para su revisión."
toalla tapete oasis alg,Compras Generales,gemini-3.1-flash-lite-preview,"Adquisición de bienes tangibles (toallas y tapetes) destinados a consumo o uso general, clasificables como mercancías de consumo corporal."
toalla spl alg,Compras Generales,gemini-3.1-flash-lite-preview,"Adquisición de bienes tangibles (toallas), clasificables como productos de consumo o suministros físicos corporales."
cobro correspondiente perierdo contrato odo bril prestacion servicios profesionales acu,Honorarios y Comisiones,gemini-3.1-flash-lite-preview,"Pago por servicios profesionales independientes, que corresponde a honorarios por la prestación de servicios intelectuales sin subordinación laboral."
bolsas mac upc,Compras Generales,gemini-3.1-flash-lite-preview,"Adquisición de bienes tangibles (bolsas) para uso general, no categorizados en otros rubros específicos."
usb woven charge cable mqkj upc,Compras Generales,gemini-3.1-flash-lite-preview,"Adquisición de bienes tangibles (cables USB), considerados suministros tecnológicos de uso general."
case markstrong iph clr blk mark upc,Compras Generales,gemini-3.1-flash-lite-preview,"Adquisición de bienes tangibles (estuches de protección), considerados accesorios o insumos corporales."
bateria belkin mah blk bpd btbk upc,Compras Generales,gemini-3.1-flash-lite-preview,"Adquisición de bienes tangibles (baterías), considerados suministros tecnológicos o insumos de uso general."
ultraglass antimicrobio pro sfa upc,Compras Generales,gemini-3.1-flash-lite-preview,"Adquisición de bienes tangibles (protectores de pantalla), insumos tecnológicos corporales."
examen medico ocupacional servicio medico,Servicios de Salud,gemini-3.1-flash-lite-preview,Servicios de salud ocupacional destinados al bienestar y cumplimiento de requisitos médicos laborales.
adecuacion piso pst estacion,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,"Obras de adecuación o remodelación de infraestructura, que corresponden a servicios de construcción o mantenimiento de inmuebles."
suministros banner resistente intemperie tipo valla publicitaria codigo estarian banner lugar entrega bogota,Compras Generales,gemini-3.1-flash-lite-preview,"Adquisición de bienes tangibles (banner publicitario), suministros materiales de uso general."
suministros boton,Compras Generales,gemini-3.1-flash-lite-preview,"Adquisición de bienes tangibles (botones), considerados suministros o insumos de uso general."
suministros valvula alta,Compras Generales,gemini-3.1-flash-lite-preview,"Adquisición de bienes tangibles (válvulas), considerados suministros o insumos industriales o de uso general."
suministros tubo entrada posterior,Compras Generales,gemini-3.1-flash-lite-preview,"Adquisición de bienes tangibles (tubos), considerados suministros o insumos de uso general."
suministros griferia antivandalica lavamanos,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de bienes tangibles y materiales destinados a uso general en mantenimiento o construcción.
suministros servicio transporte,"Transporte de Carga (Terrestre, Aéreo o Marítimo)",gemini-3.1-flash-lite-preview,"Servicio enfocado en la movilización de mercancías o bienes, clasificado bajo servicios de transporte de carga."
laminas eucol alma pacifico,Compras Generales,gemini-3.1-flash-lite-preview,Compra de bienes materiales (láminas) de naturaleza tangible susceptibles de inventario.
separador libros,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de insumos o suministros de papelería de uso general.
ens queso cabra,Productos agrícolas/pecuarios (sin proceso industrial),gemini-3.1-flash-lite-preview,"Compra de producto de origen pecuario, usualmente categorizado en sector primario o derivados lácteos básicos."
zero,DESCONOCIDO,gemini-3.1-flash-lite-preview,"Concepto ambiguo que no permite identificar el bien o servicio, requiriendo mayor información."
soda schs,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de bienes de consumo masivo (bebida).
red hat enterprise linux for virtual datacenters premium subcripcin soporte,Licencia/Derecho de Uso de Software,gemini-3.1-flash-lite-preview,Pago por suscripción de software y soporte técnico especializado de propiedad intelectual tecnológica.
red hat enterprise linux for virtual datacenters premium subcripcion soporte año,Licencia/Derecho de Uso de Software,gemini-3.1-flash-lite-preview,Renovación o pago de licenciamiento y soporte anual de software empresarial.
soporte andeanforce silver support remoto tres meses incluye soporte cambios planeados horario laboral horas mes soporte programado horario,Servicios Generales,gemini-3.1-flash-lite-preview,Servicio técnico de soporte remoto sin una categoría de consultoría o interventoría específica.
excel chat gpt grupo,Licencia/Derecho de Uso de Software,gemini-3.1-flash-lite-preview,Adquisición de derecho de uso o acceso a herramientas de software y plataformas digitales.
ibm cloud infrastructure service advanced support incluye licenciamiento ibm cloud satellite red hat openshift nucleos,Licencia/Derecho de Uso de Software,gemini-3.1-flash-lite-preview,Pago por infraestructura en la nube y licenciamiento de software de alta tecnología.
logistica nomina administrativa nov,Consultoría General/Administración Delegada (PJ),gemini-3.1-flash-lite-preview,Servicio de gestión administrativa y tercerización de procesos operativos (nómina).
logistica mantenimiento costos operativos general nov,Servicios Generales,gemini-3.1-flash-lite-preview,Servicio operativo de mantenimiento sin especificación técnica detallada para otra categoría.
logistica personal barrido elementos,Vigilancia y Aseo,gemini-3.1-flash-lite-preview,Servicio de limpieza y barrido ejecutado por personal especializado.
logistica boletas andre rieu,Servicios Generales,gemini-3.1-flash-lite-preview,Prestación de servicios de logística y gestión para eventos y espectáculos.
logistica costos operativos cotidianos nov,Servicios Generales,gemini-3.1-flash-lite-preview,Servicios operativos generales sin especificación clara de naturaleza técnica o intelectual.
logistica voz off sencia,Honorarios y Comisiones,gemini-3.1-flash-lite-preview,"Servicios profesionales de voz en off, remunerados como honorarios por labor creativa."
logistica alquiler oficia cdec mes mes,Arrendamiento de bienes inmuebles,gemini-3.1-flash-lite-preview,Pago por el alquiler o arrendamiento de espacio físico para oficinas.
logistica protocolo estadio partidos millonarios santafe,Servicios Generales,gemini-3.1-flash-lite-preview,Servicios de logística y protocolo para eventos masivos en estadios.
logistica show drones camilo,Servicios Generales,gemini-3.1-flash-lite-preview,"Servicios de logística para eventos, específicamente exhibiciones con drones."
canon mes comision canon may,Arrendamiento de bienes inmuebles,gemini-3.1-flash-lite-preview,Pago correspondiente al canon de arrendamiento de un bien inmueble.
canon mes comision iva may,Arrendamiento de bienes inmuebles,gemini-3.1-flash-lite-preview,Componente de impuesto derivado del canon de arrendamiento de bienes inmuebles.
tarjetas presentacion ref,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de materiales impresos (bienes tangibles) para uso corporativo.
estudios disenos pago contrato oxi florida estructuracion diseño viabilizacion proyectos ser desarrollados absalon camacho sede mes arboleda emeterio piedrahita atanasio girardot sede sta ana corregimiento remolinorida valle,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,"Servicios de consultoría, diseño y estructuración de proyectos de ingeniería e infraestructura."
informe anexo,DESCONOCIDO,gemini-3.1-flash-lite-preview,Concepto indeterminado que no permite clasificar el tipo de bien o servicio adquirido.
ajuste admon retroactivo primer trimestre mes comision admon may,Cuota de admon,gemini-3.1-flash-lite-preview,Ajuste sobre las expensas comunes o gastos de administración de propiedad horizontal.
entraña,Productos agrícolas/pecuarios (sin proceso industrial),gemini-3.1-flash-lite-preview,"Adquisición de producto cárnico en estado natural, correspondiente a producto agropecuario."
servicio suministro instalacion baterias marca mac amperios,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de bienes tangibles (baterías) con instalación incluida.
servicio suministro instalacion boton paro emergencia normalmente cerrado normalmente abierto,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de componentes eléctricos (botón de emergencia) como bien tangible.
servicio suministro instalacion programacion modulo control transferencia lovato,Servicios Generales,gemini-3.1-flash-lite-preview,"Servicio técnico de instalación y configuración de equipos electrónicos, clasificado como servicio general al no ser construcción ni consultoría específica."
